"uniq_id","year","q1","q2y","ed","wc1","wc3","wc2","r4a","r5","r6","r12","r15","q5b","prov","municipio","municipio_label","colrecon6","colrecon7","colrecon8","colrecon18","centro","ur","l1","colpaz4a","colpaz6a","colpropaz5","colwc5","colwc6","colwc7","colwc8","colwc9","colpropaz6","coljp5","colconce1","colrecon3","colconce7","coldis35f","colrecon12","colpropaz11a","colpact1","colpropaz13k","coljepaa1","colconce6","prov_label","rebel_controlled"
NA,2013,"Men",37,11,99,2,1,1,0,0,1,0,2,"808",8001,"Barranquilla",5,6,6,NA,0,1,2,1,1,3,2,2,2,2,2,2,6,6,6,NA,0,NA,NA,NA,NA,NA,NA,"Atlántico",0
NA,2013,"Men",78,5,2,2,2,1,0,0,1,1,4,"808",8001,"Barranquilla",2,7,7,NA,0,1,5,1,1,3,2,2,2,2,2,3,1,1,7,NA,1,NA,NA,NA,NA,NA,NA,"Atlántico",0
NA,2013,"Women",19,11,2,2,2,1,1,0,1,1,4,"808",8001,"Barranquilla",2,4,5,NA,0,1,9,1,1,3,2,2,2,2,1,3,2,6,7,NA,1,NA,NA,NA,NA,NA,NA,"Atlántico",0
NA,2013,"Women",30,14,1,1,1,1,0,1,1,1,2,"808",8001,"Barranquilla",2,4,5,NA,0,1,6,1,1,1,2,2,2,2,1,2,1,2,5,NA,1,NA,NA,NA,NA,NA,NA,"Atlántico",0
NA,2013,"Women",69,5,2,2,2,1,0,1,1,0,1,"808",8001,"Barranquilla",1,8,10,NA,0,1,10,1,2,3,2,2,2,2,2,3,5,7,7,NA,0,NA,NA,NA,NA,NA,NA,"Atlántico",0
NA,2013,"Men",23,11,2,2,2,1,0,1,1,1,4,"808",8001,"Barranquilla",3,4,6,NA,0,1,7,2,2,3,2,2,2,2,2,3,2,2,4,NA,1,NA,NA,NA,NA,NA,NA,"Atlántico",0
NA,2013,"Men",22,11,2,2,2,1,0,1,1,0,1,"808",8001,"Barranquilla",5,7,7,NA,0,1,5,1,2,3,2,2,2,2,2,2,7,3,1,NA,0,NA,NA,NA,NA,NA,NA,"Atlántico",0
NA,2013,"Men",39,11,2,2,2,1,0,0,1,0,2,"808",8001,"Barranquilla",3,3,5,NA,0,1,7,2,2,1,2,2,2,2,2,1,3,4,3,NA,0,NA,NA,NA,NA,NA,NA,"Atlántico",0
NA,2013,"Men",76,0,2,2,2,1,0,0,1,0,1,"808",8001,"Barranquilla",3,1,1,NA,0,1,8,1,2,3,2,2,2,2,2,2,3,3,5,NA,0,NA,NA,NA,NA,NA,NA,"Atlántico",0
NA,2013,"Women",21,11,2,2,2,1,0,1,1,0,3,"808",8001,"Barranquilla",2,1,1,NA,1,1,6,2,2,1,2,2,2,2,2,1,4,3,6,NA,1,NA,NA,NA,NA,NA,NA,"Atlántico",0
