"colpaz6a","q1tb","r6","r15","r16","r18","coll1","edr","q2","colwc10","prov1t","ur1new"
NA,"Women",0,0,0,1,NA,2,46,NA,800021,3
1,"Women",1,1,1,1,5,3,55,2,800004,1
NA,"Women",0,1,1,1,NA,2,18,NA,800018,1
1,"Men",1,1,1,1,2,3,37,2,800022,2
1,"Women",1,1,1,1,NA,2,64,2,800006,1
NA,"Men",1,1,1,1,NA,3,37,NA,800003,1
NA,"Women",1,1,1,1,NA,3,40,NA,800001,1
NA,"Men",1,0,0,0,NA,2,46,NA,800013,3
NA,"Women",0,0,0,0,NA,2,36,NA,800018,4
1,"Men",0,0,1,1,NA,2,43,2,800013,1
NA,"Women",1,1,0,1,NA,1,74,NA,800003,1
NA,"Men",1,1,1,1,NA,3,31,NA,800011,4
1,"Men",1,1,0,1,2,2,48,1,800011,4
1,"Women",1,1,1,1,2,3,43,2,800003,1
NA,"Men",1,1,1,1,NA,3,40,NA,800001,1
NA,"Men",0,0,0,0,NA,3,30,NA,800026,1
NA,"Men",1,1,0,1,NA,2,26,NA,800001,1
2,"Men",1,0,0,0,1,1,39,1,800018,1
NA,"Women",1,1,1,1,NA,3,23,NA,800001,2
1,"Women",0,0,0,0,5,1,39,1,800001,4
1,"Men",0,1,1,0,1,2,48,1,800001,3
2,"Men",0,1,1,1,NA,2,52,2,800011,4
NA,"Women",1,1,1,1,NA,3,26,NA,800011,1
2,"Women",0,0,0,1,NA,1,38,2,800011,4
NA,"Men",0,0,0,1,NA,2,50,NA,800005,4
NA,"Men",1,1,0,1,NA,3,28,NA,800001,3
NA,"Women",0,0,0,0,NA,1,23,NA,800018,NA
1,"Women",1,0,1,1,NA,3,45,1,800025,3
2,"Women",1,1,1,1,NA,3,28,2,800002,1
NA,"Women",0,1,0,1,NA,3,20,NA,800005,4
NA,"Men",1,1,1,1,NA,3,41,NA,800015,1
2,"Men",1,1,1,1,1,3,47,2,800001,4
2,"Women",1,1,1,1,2,3,30,1,800024,1
2,"Women",1,1,1,1,1,2,58,2,800018,1
2,"Women",1,0,0,0,1,3,33,2,800011,1
2,"Men",1,1,1,1,1,2,37,2,800025,1
NA,"Women",0,0,0,1,NA,3,26,NA,800024,4
NA,"Men",0,0,0,0,NA,0,38,NA,800027,4
NA,"Women",1,1,1,1,NA,3,25,NA,800003,1
1,"Men",1,1,1,1,4,3,33,2,800003,1
NA,"Men",1,1,1,1,NA,3,58,NA,800003,1
1,"Men",0,0,1,1,5,3,32,1,800002,3
NA,"Women",0,0,0,0,NA,2,66,NA,800021,4
NA,"Men",0,0,0,1,NA,2,29,NA,800003,1
1,"Women",1,0,0,1,2,3,30,2,800003,1
2,"Women",0,0,1,0,1,1,69,2,800001,4
NA,"Men",1,1,1,1,NA,2,57,NA,800002,1
NA,"Men",1,1,1,1,NA,2,54,NA,800024,3
2,"Women",1,0,1,1,2,3,55,2,800011,4
2,"Women",0,0,0,1,NA,1,31,1,800011,3
1,"Women",1,1,1,1,3,3,29,2,800001,1
NA,"Women",0,0,1,1,NA,1,60,NA,800009,1
NA,"Women",0,0,0,0,5,2,43,1,800001,3
1,"Men",0,0,1,0,5,2,24,2,800003,1
NA,"Men",0,0,0,0,NA,3,46,NA,800024,4
2,"Women",1,0,1,1,1,3,28,2,800001,NA
1,"Men",1,0,0,1,NA,1,26,1,800004,3
2,"Women",1,1,1,1,1,3,72,2,800024,1
2,"Men",1,0,0,1,2,3,55,1,800011,2
1,"Women",1,1,1,1,3,3,41,2,800009,1
NA,"Women",0,0,0,0,NA,1,57,NA,800021,1
2,"Women",1,0,1,1,NA,1,47,1,800001,4
2,"Women",0,0,1,0,3,3,35,2,800005,4
NA,"Men",1,1,1,1,NA,3,41,NA,800004,4
1,"Women",1,1,1,1,3,3,40,2,800003,1
NA,"Men",1,0,0,1,NA,2,20,NA,800001,1
1,"Women",1,1,1,1,4,3,27,2,800003,4
1,"Women",1,0,0,1,2,2,18,1,800018,1
1,"Women",1,0,1,1,2,3,31,1,800022,2
NA,"Men",1,0,1,1,NA,1,43,NA,800018,4
1,"Women",0,0,0,1,NA,0,55,2,800009,4
NA,"Women",0,0,0,1,NA,1,50,NA,800018,4
NA,"Women",0,0,0,0,NA,1,47,NA,800001,3
1,"Men",1,1,1,1,4,3,46,2,800005,1
NA,"Men",1,1,1,1,NA,3,28,NA,800003,1
NA,"Women",1,1,1,1,NA,3,43,NA,800024,1
NA,"Women",0,0,0,0,NA,1,49,NA,800011,4
NA,"Women",0,0,1,1,NA,2,26,NA,800018,1
NA,"Women",0,0,0,1,NA,1,36,NA,800017,4
NA,"Women",0,0,NA,0,NA,3,40,NA,800001,3
NA,"Women",1,0,0,0,NA,2,29,NA,800004,4
1,"Women",0,0,0,0,5,1,49,1,800022,3
2,"Women",1,0,0,1,5,3,21,2,800003,1
2,"Women",1,1,1,1,3,3,50,2,800010,3
2,"Women",1,0,1,1,NA,2,62,2,800021,1
NA,"Women",1,1,1,1,NA,3,39,NA,800002,2
NA,"Men",1,1,1,1,NA,1,65,NA,800024,1
2,"Women",0,0,1,0,1,0,74,1,800020,1
NA,"Women",0,0,0,0,NA,2,48,NA,800013,4
NA,"Women",0,0,0,0,NA,1,35,NA,800018,3
NA,"Men",1,1,1,1,NA,1,77,NA,800024,1
NA,"Women",0,0,0,0,1,1,38,2,800018,4
2,"Women",1,1,1,1,1,3,43,1,800011,3
NA,"Women",1,0,1,1,NA,3,42,NA,800016,3
NA,"Women",1,0,0,1,NA,3,26,NA,800025,1
NA,"Women",0,0,1,1,NA,1,51,NA,800001,1
2,"Men",1,1,1,1,2,3,49,2,800017,2
1,"Women",1,1,1,1,3,3,42,2,800003,1
2,"Women",1,1,1,1,NA,3,36,2,800001,1
NA,"Women",1,0,0,1,NA,3,29,NA,800010,1
NA,"Men",1,0,1,0,NA,3,48,NA,800003,1
2,"Women",1,0,0,1,NA,3,32,2,800018,1
NA,"Women",0,0,0,1,NA,2,32,NA,800018,4
NA,"Women",0,0,0,0,NA,2,46,NA,800018,3
1,"Men",0,1,1,1,NA,3,38,2,800015,3
1,"Men",0,0,0,1,1,2,47,2,800023,4
2,"Women",1,1,1,1,NA,3,41,1,800001,2
1,"Women",1,0,1,1,3,3,31,2,800024,1
NA,"Women",1,1,1,1,NA,2,62,NA,800002,1
NA,"Women",0,0,0,0,NA,2,44,NA,800004,3
1,"Men",1,1,1,1,4,3,37,2,800003,1
NA,"Women",0,0,1,0,NA,1,43,NA,800023,4
1,"Women",1,1,1,1,1,3,56,2,800003,1
NA,"Men",1,1,1,1,NA,3,27,NA,800003,1
1,"Men",1,1,1,1,1,3,36,1,800001,1
1,"Men",1,1,1,1,4,3,28,2,800003,1
NA,"Women",0,0,0,0,NA,1,63,NA,800018,2
NA,"Women",1,0,1,1,NA,3,35,NA,800004,4
NA,"Men",1,0,1,1,NA,2,46,NA,800021,3
NA,"Women",1,0,1,1,NA,2,35,NA,800001,1
1,"Men",0,1,0,1,NA,3,28,2,800015,1
2,"Women",1,0,0,0,NA,3,39,2,800018,2
1,"Men",0,0,0,1,5,1,28,1,800003,1
NA,"Women",0,0,0,1,NA,1,34,NA,800026,4
NA,"Women",1,0,0,1,NA,2,49,NA,800011,3
NA,"Men",1,1,1,1,NA,2,51,NA,800011,1
NA,"Men",1,0,1,1,NA,2,60,NA,800003,1
2,"Men",1,1,1,1,5,3,70,2,800009,1
2,"Women",0,0,0,1,NA,3,29,2,800018,4
1,"Men",0,1,0,1,4,3,55,2,800023,1
NA,"Women",0,1,0,1,NA,3,24,NA,800003,1
NA,"Women",0,0,0,0,NA,2,26,NA,800018,3
2,"Women",0,0,0,0,5,2,52,2,800001,1
NA,"Women",0,1,1,1,NA,3,37,NA,800021,1
NA,"Women",1,1,1,1,NA,3,45,NA,800003,1
NA,"Women",0,0,0,1,NA,3,43,NA,800011,4
NA,"Men",1,1,1,1,NA,3,47,NA,800001,1
NA,"Women",1,0,1,0,NA,1,50,NA,800021,4
1,"Women",1,1,0,1,5,3,41,1,800024,1
NA,"Women",0,0,0,0,NA,2,34,NA,800025,3
NA,"Women",0,0,0,0,NA,3,28,NA,800004,3
1,"Men",NA,NA,0,1,4,3,36,2,800003,1
NA,"Women",1,1,1,1,NA,2,65,NA,800024,1
1,"Women",1,1,1,1,5,3,28,2,800003,1
1,"Men",1,1,1,1,1,2,45,2,800002,1
NA,"Women",1,0,1,0,NA,1,72,NA,800021,1
NA,"Women",1,1,1,1,NA,3,36,NA,800022,3
2,"Men",1,1,1,1,1,2,42,2,800024,4
NA,"Men",1,0,1,1,NA,3,54,NA,800015,3
NA,"Men",1,0,1,0,NA,1,74,NA,800022,1
1,"Men",1,0,1,1,5,2,30,2,800001,4
2,"Women",0,0,0,1,1,2,65,2,800018,1
NA,"Women",0,0,0,0,NA,1,21,NA,800011,1
1,"Women",0,0,1,1,1,2,27,2,800001,4
