"year","ADM1_ES","ADM2_ES","ADM2_PCODE"
1997,"Antioquia","Alejandría","CO05021"
1997,"Antioquia","Barbosa","CO05079"
1997,"Antioquia","Bello","CO05088"
1997,"Antioquia","Briceño","CO05107"
1997,"Antioquia","Concepción","CO05206"
1997,"Antioquia","Copacabana","CO05212"
1997,"Antioquia","Ebéjico","CO05240"
1997,"Antioquia","El Santuario","CO05697"
1997,"Antioquia","Girardota","CO05308"
1997,"Antioquia","Guarne","CO05318"
1997,"Antioquia","Marinilla","CO05440"
1997,"Antioquia","Peñol","CO05541"
1997,"Antioquia","Rionegro","CO05615"
1997,"Antioquia","San Jerónimo","CO05656"
1997,"Antioquia","San Pedro de los Milagros","CO05664"
1997,"Antioquia","San Vicente Ferrer","CO05674"
1997,"Antioquia","Santo Domingo","CO05690"
1997,"Antioquia","Toledo","CO05819"
1997,"Antioquia","Turbo","CO05837"
1997,"Boyacá","Aquitania","CO15047"
1997,"Casanare","Chámeza","CO85015"
1997,"Casanare","Recetor","CO85279"
1997,"Cundinamarca","Anapoima","CO25035"
1997,"Cundinamarca","Beltrán","CO25086"
1997,"Cundinamarca","Cachipay","CO25123"
1997,"Cundinamarca","El Colegio","CO25245"
1997,"Cundinamarca","Jerusalén","CO25368"
1997,"Cundinamarca","La Mesa","CO25386"
1997,"Cundinamarca","Pulí","CO25580"
1997,"Cundinamarca","Quipile","CO25596"
1997,"Cundinamarca","San Antonio del Tequendama","CO25645"
1997,"Cundinamarca","Tena","CO25797"
1997,"Nariño","Pasto","CO52001"
1997,"Quindio","Circasia","CO63190"
1997,"Quindio","Filandia","CO63272"
1997,"Quindio","Quimbaya","CO63594"
1997,"Santander","Puerto Parra","CO68573"
1997,"Santander","Rionegro","CO68615"
1997,"Valle del Cauca","Alcalá","CO76020"
1997,"Valle del Cauca","Cartago","CO76147"
1997,"Valle del Cauca","Obando","CO76497"
1997,"Valle del Cauca","Toro","CO76823"
1997,"Valle del Cauca","Ulloa","CO76845"
1997,NA,NA,NA
2002,"Antioquia","Andes","CO05034"
2002,"Antioquia","Argelia","CO05055"
2002,"Antioquia","Hispania","CO05353"
2002,"Antioquia","Jericó","CO05368"
2002,"Antioquia","Nariño","CO05483"
2002,"Antioquia","Pueblorrico","CO05576"
2002,"Bolívar","Cicuco","CO13188"
2002,"Bolívar","Mompós","CO13468"
2002,"Bolívar","Talaigua Nuevo","CO13780"
2002,"Caldas","Aguadas","CO17013"
2002,"Caldas","Anserma","CO17042"
2002,"Caldas","Aranzazu","CO17050"
2002,"Caldas","Chinchiná","CO17174"
2002,"Caldas","Filadelfia","CO17272"
2002,"Caldas","La Merced","CO17388"
2002,"Caldas","Palestina","CO17524"
2002,"Caldas","Pensilvania","CO17541"
2002,"Caldas","Pácora","CO17513"
2002,"Caldas","Risaralda","CO17616"
2002,"Caldas","San José","CO17665"
2002,"Caldas","Viterbo","CO17877"
2002,"Caquetá","Florencia","CO18001"
2002,"Chocó","Bojayá","CO27099"
2002,"Cundinamarca","Albán","CO25019"
2002,"Cundinamarca","Anolaima","CO25040"
2002,"Cundinamarca","Beltrán","CO25086"
2002,"Cundinamarca","Caparrapí","CO25148"
2002,"Cundinamarca","Chipaque","CO25178"
2002,"Cundinamarca","Cáqueza","CO25151"
2002,"Cundinamarca","El Rosal","CO25260"
2002,"Cundinamarca","Facatativá","CO25269"
2002,"Cundinamarca","Fosca","CO25281"
2002,"Cundinamarca","Fómeque","CO25279"
2002,"Cundinamarca","Gutiérrez","CO25339"
2002,"Cundinamarca","Jerusalén","CO25368"
2002,"Cundinamarca","La Vega","CO25402"
2002,"Cundinamarca","Madrid","CO25430"
2002,"Cundinamarca","Medina","CO25438"
2002,"Cundinamarca","Pulí","CO25580"
2002,"Cundinamarca","Quetame","CO25594"
